Time	Cycle	PC	Insn	Decoded instruction	Register and memory contents
6290006f	jal	x0,100ea8	  x0=0x00000000
00c7a023	sw	x12,0(x15)	 x15:0x00020000 x12:0x00000073 PA:0x00020000 store:0x00000073 load:0x00000000
00754683	lbu	x13,7(x10)	 x10:0x001019a8 x13=0x00000069 PA:0x001019af store:0x0000006f
00850513	addi	x10,x10,8	 x10:0x001019a8 x10=0x001019b0
00068863	beq	x13,x0,100110	 x13:0x00000069  x0:0x00000000
00d7a023	sw	x13,0(x15)	 x15:0x00020000 x13:0x00000069 PA:0x00020000 store:0x00000069 load:0x00000000
00054803	lbu	x16,0(x10)	 x10:0x001019b0 x16=0x0000006d PA:0x001019b0 store:0x00000000
fa0810e3	bne	x16,x0,1000ac	 x16:0x0000006d  x0:0x00000000
0107a023	sw	x16,0(x15)	 x15:0x00020000 x16:0x0000006d PA:0x00020000 store:0x0000006d load:0x00000000
00154703	lbu	x14,1(x10)	 x10:0x001019b0 x14=0x00000070 PA:0x001019b1 store:0x00100fe0
04070e63	beq	x14,x0,100110	 x14:0x00000070  x0:0x00000000
00e7a023	sw	x14,0(x15)	 x15:0x00020000 x14:0x00000070 PA:0x00020000 store:0x00000070 load:0x00000000
00254283	lbu	x5,2(x10)	 x10:0x001019b0  x5=0x0000006c PA:0x001019b2 store:0x00137fa0
04028863	beq	x5,x0,100110	  x5:0x0000006c  x0:0x00000000
0057a023	sw	x5,0(x15)	 x15:0x00020000  x5:0x0000006c PA:0x00020000 store:0x0000006c load:0x00000000
00354303	lbu	x6,3(x10)	 x10:0x001019b0  x6=0x00000065 PA:0x001019b3 store:0x00000000
04030263	beq	x6,x0,100110	  x6:0x00000065  x0:0x00000000
0067a023	sw	x6,0(x15)	 x15:0x00020000  x6:0x00000065 PA:0x00020000 store:0x00000065 load:0x00000000
00454383	lbu	x7,4(x10)	 x10:0x001019b0  x7=0x00000020 PA:0x001019b4 store:0x00000000
02038c63	beq	x7,x0,100110	  x7:0x00000020  x0:0x00000000
0077a023	sw	x7,0(x15)	 x15:0x00020000  x7:0x00000020 PA:0x00020000 store:0x00000020 load:0x00000000
00554583	lbu	x11,5(x10)	 x10:0x001019b0 x11=0x00000073 PA:0x001019b5 store:0x0000006c
02058663	beq	x11,x0,100110	 x11:0x00000073  x0:0x00000000
00b7a023	sw	x11,0(x15)	 x15:0x00020000 x11:0x00000073 PA:0x00020000 store:0x00000073 load:0x00000000
00654603	lbu	x12,6(x10)	 x10:0x001019b0 x12=0x00000079 PA:0x001019b6 store:0x00000065
02060063	beq	x12,x0,100110	 x12:0x00000079  x0:0x00000000
00c7a023	sw	x12,0(x15)	 x15:0x00020000 x12:0x00000079 PA:0x00020000 store:0x00000079 load:0x00000000
00754683	lbu	x13,7(x10)	 x10:0x001019b0 x13=0x00000073 PA:0x001019b7 store:0x00000020
00850513	addi	x10,x10,8	 x10:0x001019b0 x10=0x001019b8
00068863	beq	x13,x0,100110	 x13:0x00000073  x0:0x00000000
00d7a023	sw	x13,0(x15)	 x15:0x00020000 x13:0x00000073 PA:0x00020000 store:0x00000073 load:0x00000000
00054803	lbu	x16,0(x10)	 x10:0x001019b8 x16=0x00000074 PA:0x001019b8 store:0x00000000
fa0810e3	bne	x16,x0,1000ac	 x16:0x00000074  x0:0x00000000
0107a023	sw	x16,0(x15)	 x15:0x00020000 x16:0x00000074 PA:0x00020000 store:0x00000074 load:0x00000000
00154703	lbu	x14,1(x10)	 x10:0x001019b8 x14=0x00000065 PA:0x001019b9 store:0x00100fe0
04070e63	beq	x14,x0,100110	 x14:0x00000065  x0:0x00000000
00e7a023	sw	x14,0(x15)	 x15:0x00020000 x14:0x00000065 PA:0x00020000 store:0x00000065 load:0x00000000
00254283	lbu	x5,2(x10)	 x10:0x001019b8  x5=0x0000006d PA:0x001019ba store:0x00137fa0
04028863	beq	x5,x0,100110	  x5:0x0000006d  x0:0x00000000
